Student ID,Gender,Type of Examinee,Pre-assessment 2025,Anatomy,Physiology,Parasitology,Pharmacology,Pathology,Zootechnics,Microbiology & Public Health,Medicine,Surgery,Post-assessment 2025,Pre-assessment 2025_last,Anatomy_last,Physiology_last,Parasitology_last,Pharmacology_last,Pathology_last,Zootechnics_last,Microbiology & Public Health_last,Medicine_last,Surgery_last,Post-assessment 2025_last,Pre-assessment 2025_best,Anatomy_best,Physiology_best,Parasitology_best,Pharmacology_best,Pathology_best,Zootechnics_best,Microbiology & Public Health_best,Medicine_best,Surgery_best,Post-assessment 2025_best,avg_best_score,max_best_score,avg_first_score,avg_last_score,total_attempts,avg_attempts,avg_improvement,score_std,num_exams,Licensure Exam Result,exam_coverage_ratio,best_minus_first,last_minus_first,best_minus_last,attempt_intensity,stability_index,score_range_proxy
Student 1,Male,Repeater,37.0,52.0,,,51.0,41.0,58.0,,,,,28.0,52.0,,,51.0,41.0,58.0,,,,,37.0,52.0,,,51.0,41.0,58.0,,,,,47.8,58,47.8,46.0,6,1.2,-1.8,8.584870413,5,1,0.45454545454545453,0.0,-1.7999999999999972,1.7999999999999972,1.2,0.10433109232689215,10.200000000000003
Student 2,Male,Repeater,,,55.0,59.0,45.0,41.0,57.0,47.0,,,,,,55.0,59.0,45.0,41.0,57.0,47.0,,,,,,55.0,59.0,45.0,41.0,57.0,47.0,,,,50.66666667,59,50.66666667,50.66666667,6,1.0,0.0,7.312090444,6,1,0.5454545454545454,0.0,0.0,0.0,1.0,0.12030667937712831,8.333333330000002
Student 3,Male,First Taker,48.0,50.0,,,,,,,,,,48.0,50.0,,,,,,,,,,48.0,50.0,,,,,,,,,,49.0,50,49.0,49.0,2,1.0,0.0,1.414213562,2,1,0.18181818181818182,0.0,0.0,0.0,1.0,0.41421356243710805,1.0
Student 4,Male,First Taker,53.0,49.0,61.0,63.0,51.0,36.0,56.0,75.0,68.0,75.0,,89.0,92.0,95.0,54.0,83.0,36.0,92.0,72.0,90.0,75.0,,89.0,93.0,96.0,63.0,83.0,36.0,92.0,75.0,90.0,75.0,,79.2,96,58.7,77.8,29,2.9,19.1,18.34121043,10,1,0.9090909090909091,20.5,19.099999999999994,1.4000000000000057,2.9,0.051703072236311945,37.3
Student 5,Female,First Taker,49.0,57.0,65.0,65.0,68.0,48.0,75.0,72.0,76.0,66.0,,49.0,72.0,65.0,65.0,68.0,72.0,75.0,72.0,76.0,66.0,,49.0,72.0,65.0,65.0,68.0,72.0,75.0,72.0,76.0,66.0,,68.0,76,64.1,68.0,12,1.2,3.9,7.774602526,10,1,0.9090909090909091,3.9000000000000057,3.9000000000000057,0.0,1.2,0.11396527615204255,11.900000000000006
Student 6,Male,Repeater,81.0,59.0,65.0,60.0,49.0,49.0,58.0,59.0,76.0,66.0,56.0,81.0,71.0,83.0,83.0,65.0,63.0,83.0,78.0,95.0,79.0,69.0,81.0,71.0,83.0,83.0,65.0,73.0,83.0,78.0,95.0,79.0,69.0,78.18181818,95,61.63636364,77.27272727,34,3.090909091,15.63636364,8.352462892,11,1,1.0,16.545454539999994,15.636363630000005,0.9090909099999891,3.090909090909091,0.10692370678694589,33.36363636
Student 7,Female,First Taker,42.0,50.0,59.0,64.0,42.0,50.0,71.0,30.0,66.0,53.0,62.0,69.0,77.0,75.0,72.0,69.0,69.0,78.0,75.0,94.0,71.0,69.0,69.0,77.0,75.0,72.0,69.0,72.0,78.0,75.0,94.0,71.0,69.0,74.63636364,94,53.54545455,74.36363636,29,2.636363636,20.81818182,7.17318238,11,1,1.0,21.090909089999997,20.81818181,0.272727279999998,2.6363636363636362,0.12235136248115877,40.45454545
Student 8,Male,Repeater,42.0,42.0,,,,,,,,,,42.0,42.0,,,,,,,,,,42.0,42.0,,,,,,,,,,42.0,42,42.0,42.0,2,1.0,0.0,0.0,2,0,0.18181818181818182,0.0,0.0,0.0,1.0,1.0,0.0
Student 9,Male,First Taker,48.0,56.0,65.0,46.0,6.0,9.0,77.0,27.0,25.0,68.0,43.0,50.0,61.0,19.0,46.0,35.0,9.0,77.0,27.0,25.0,68.0,43.0,50.0,61.0,65.0,46.0,35.0,9.0,77.0,27.0,25.0,68.0,43.0,46.0,77,42.72727273,41.81818182,18,1.636363636,-0.9090909091,20.85185843,11,1,1.0,3.272727269999997,-0.9090909100000033,4.1818181800000005,1.6363636363636365,0.04576269808828338,34.27272727
Student 10,Female,First Taker,57.0,49.0,56.0,66.0,46.0,50.0,61.0,,70.0,70.0,,100.0,49.0,56.0,32.0,46.0,57.0,61.0,,70.0,70.0,,100.0,49.0,56.0,66.0,46.0,57.0,61.0,,70.0,70.0,,63.88888889,100,58.33333333,60.11111111,13,1.444444444,1.777777778,15.98002225,9,1,0.8181818181818182,5.555555559999995,1.777777780000001,3.777777779999994,1.4444444444444444,0.05889273790557018,41.66666667
