Student ID,Gender,Type of Examinee,Pre-assessment 2025,Anatomy,Physiology,Parasitology,Pharmacology,Pathology,Zootechnics,Microbiology & Public Health,Medicine,Surgery,Post-assessment 2025,Pre-assessment 2025_last,Anatomy_last,Physiology_last,Parasitology_last,Pharmacology_last,Pathology_last,Zootechnics_last,Microbiology & Public Health_last,Medicine_last,Surgery_last,Post-assessment 2025_last,Pre-assessment 2025_best,Anatomy_best,Physiology_best,Parasitology_best,Pharmacology_best,Pathology_best,Zootechnics_best,Microbiology & Public Health_best,Medicine_best,Surgery_best,Post-assessment 2025_best,avg_best_score,max_best_score,avg_first_score,avg_last_score,total_attempts,avg_attempts,avg_improvement,score_std,num_exams,Licensure Exam Result
Student 1,Male,Repeater,37,52,,,51,41,58,,,,,28,52,,,51,41,58,,,,,37,52,,,51,41,58,,,,,47.8,58,47.8,46,6,1.2,-1.8,8.584870413,5,1
Student 2,Male,Repeater,,,55,59,45,41,57,47,,,,,,55,59,45,41,57,47,,,,,,55,59,45,41,57,47,,,,50.66666667,59,50.66666667,50.66666667,6,1,0,7.312090444,6,1
Student 3,Male,First Taker,48,50,,,,,,,,,,48,50,,,,,,,,,,48,50,,,,,,,,,,49,50,49,49,2,1,0,1.414213562,2,1
Student 4,Male,First Taker,53,49,61,63,51,36,56,75,68,75,,89,92,95,54,83,36,92,72,90,75,,89,93,96,63,83,36,92,75,90,75,,79.2,96,58.7,77.8,29,2.9,19.1,18.34121043,10,1
Student 5,Female,First Taker,49,57,65,65,68,48,75,72,76,66,,49,72,65,65,68,72,75,72,76,66,,49,72,65,65,68,72,75,72,76,66,,68,76,64.1,68,12,1.2,3.9,7.774602526,10,1
Student 6,Male,Repeater,81,59,65,60,49,49,58,59,76,66,56,81,71,83,83,65,63,83,78,95,79,69,81,71,83,83,65,73,83,78,95,79,69,78.18181818,95,61.63636364,77.27272727,34,3.090909091,15.63636364,8.352462892,11,1
Student 7,Female,First Taker,42,50,59,64,42,50,71,30,66,53,62,69,77,75,72,69,69,78,75,94,71,69,69,77,75,72,69,72,78,75,94,71,69,74.63636364,94,53.54545455,74.36363636,29,2.636363636,20.81818182,7.17318238,11,1
Student 8,Male,Repeater,42,42,,,,,,,,,,42,42,,,,,,,,,,42,42,,,,,,,,,,42,42,42,42,2,1,0,0,2,0
Student 9,Male,First Taker,48,56,65,46,6,9,77,27,25,68,43,50,61,19,46,35,9,77,27,25,68,43,50,61,65,46,35,9,77,27,25,68,43,46,77,42.72727273,41.81818182,18,1.636363636,-0.9090909091,20.85185843,11,1
Student 10,Female,First Taker,57,49,56,66,46,50,61,,70,70,,100,49,56,32,46,57,61,,70,70,,100,49,56,66,46,57,61,,70,70,,63.88888889,100,58.33333333,60.11111111,13,1.444444444,1.777777778,15.98002225,9,1
Student 11,Female,First Taker,44,56,79,61,64,54,71,73,76,72,80,23,99,100,99,100,100,100,100,100,98,100,44,99,100,99,100,100,100,100,100,98,100,94.54545455,100,66.36363636,92.63636364,30,2.727272727,26.27272727,16.77714896,11,1
Student 12,Male,Repeater,42,45,49,49,48,33,65,48,62,54,32,68,45,49,49,48,33,65,48,62,54,32,68,45,49,49,48,33,65,48,62,54,32,50.27272727,68,47.90909091,50.27272727,12,1.090909091,2.363636364,11.64552196,11,0
Student 13,Male,Repeater,42,,,,,,,,,,,42,,,,,,,,,,,42,,,,,,,,,,,42,42,42,42,1,1,0,0,1,0
Student 14,Male,Repeater,46,50,60,,,,,,,,,73,50,49,,,,,,,,,73,50,60,,,,,,,,,61,73,52,57.33333333,5,1.666666667,5.333333333,11.53256259,3,1
Student 15,Male,First Taker,47,47,52,52,48,52,65,56,,,,82,49,52,52,48,52,83,56,,,,82,49,52,52,48,52,83,56,,,,59.25,83,52.375,59.25,15,1.875,6.875,14.54795027,8,1
Student 16,Female,First Taker,62,77,88,83,70,68,86,86,86,,,62,77,88,83,70,68,86,86,86,,,62,77,88,83,70,68,86,86,86,,,78.44444444,88,78.44444444,78.44444444,9,1,0,9.593110954,9,1
Student 17,Female,First Taker,43,50,74,56,46,50,64,70,71,74,,43,95,97,56,66,50,100,70,71,74,,43,95,97,56,66,50,100,70,71,74,,72.2,100,59.8,72.2,14,1.4,12.4,19.898632,10,1
Student 18,Female,First Taker,43,44,59,51,48,45,60,62,64,59,56,57,61,79,51,48,45,60,62,82,59,56,57,61,79,51,48,45,60,62,82,59,56,60,82,53.72727273,60,16,1.454545455,6.272727273,11.51520734,11,0
Student 19,Female,First Taker,30,42,59,48,39,,74,65,,,,30,65,68,71,42,,74,65,,,,30,65,68,71,42,,74,65,,,,59.28571429,74,51,59.28571429,20,2.857142857,8.285714286,16.59030124,7,1
Student 20,Female,First Taker,,35,,,74,46,70,80,,,,,35,,,74,46,70,80,,,,,35,,,74,46,70,80,,,,61,80,61,61,5,1,0,19.4422221,5,1
Student 21,Female,First Taker,35,45,,,,,,,,,,57,45,,,,,,,,,,57,45,,,,,,,,,,51,57,40,51,3,1.5,11,8.485281374,2,1
Student 22,Female,First Taker,40,44,70,72,67,47,80,60,,40,,40,99,85,87,39,100,93,97,,40,,40,99,97,99,99,100,99,100,,40,,85.88888889,100,57.77777778,75.55555556,24,2.666666667,17.77777778,26.03096447,9,1
Student 23,Female,First Taker,39,53,,,,,,,,,,39,53,,,,,,,,,,39,53,,,,,,,,,,46,53,46,46,2,1,0,9.899494937,2,1
Student 24,Female,First Taker,,70,,,,,,,,,,,70,,,,,,,,,,,70,,,,,,,,,,70,70,70,70,1,1,0,0,1,1
Student 25,Female,Repeater,49,,,,,,,,,,,49,,,,,,,,,,,49,,,,,,,,,,,49,49,49,49,1,1,0,0,1,0
Student 26,Female,First Taker,33,44,55,47,,,57,,,,,33,58,55,47,,,57,,,,,33,58,55,47,,,57,,,,,50,58,47.2,50,7,1.4,2.8,10.44030651,5,1
Student 27,Female,First Taker,56,60,69,,,,,,,,,56,60,69,,,,,,,,,56,60,69,,,,,,,,,61.66666667,69,61.66666667,61.66666667,3,1,0,6.658328118,3,1
Student 28,Female,Repeater,94,56,60,18,,,,,75,,56,94,56,90,94,,,,,75,,56,94,56,90,94,,,,,75,,56,77.5,94,59.83333333,77.5,9,1.5,17.66666667,18.06377591,6,1
Student 29,Female,First Taker,70,58,79,69,69,50,68,,,,89,85,85,79,69,78,75,68,,,,89,85,85,79,69,78,75,68,,,,89,78.5,89,69,78.5,14,1.75,9.5,7.634508123,8,1
Student 30,Female,Repeater,44,,,,,,,,,,,74,,,,,,,,,,,74,,,,,,,,,,,74,74,44,74,2,2,30,0,1,1
Student 31,Female,,42,56,62,40,44,39,52,54,63,62,,51,56,62,40,44,94,97,96,63,78,,51,56,62,40,44,94,97,96,63,99,,70.2,99,51.4,68.1,18,1.8,16.7,23.72902583,10,1
Student 32,Female,Repeater,,56,69,57,49,,,,,,,,56,69,57,49,,,,,,,,56,69,57,49,,,,,,,57.75,69,57.75,57.75,4,1,0,8.30160627,4,1
Student 33,Female,First Taker,51,61,,,,,66,,,,,91,64,,,,,66,,,,,91,64,,,,,66,,,,,73.66666667,91,59.33333333,73.66666667,5,1.666666667,14.33333333,15.0443788,3,1
Student 34,Female,Repeater,52,42,58,61,46,56,65,56,72,63,83,94,65,70,77,82,74,92,85,91,83,83,98,84,83,87,82,86,92,85,91,86,83,87,98,59.45454545,81.45454545,51,4.636363636,22,4.837354649,11,1
Student 35,Female,First Taker,41,63,84,71,68,66,79,77,80,78,,41,63,84,71,68,66,97,77,80,82,,41,63,84,71,68,66,97,77,80,98,,74.5,98,70.7,72.9,13,1.3,2.2,16.88687854,10,1
Student 36,Female,First Taker,45,41,30,31,24,76,83,,,72,,30,75,85,31,24,76,83,,,72,,45,75,85,31,24,76,83,,,72,,61.375,85,50.25,59.5,12,1.5,9.25,24.27778232,8,1
Student 37,Female,Repeater,33,38,29,31,38,35,51,51,57,62,60,33,86,53,82,44,56,51,82,96,87,60,33,86,53,82,44,56,51,82,96,87,60,66.36363636,96,44.09090909,66.36363636,28,2.545454545,22.27272727,20.86754766,11,0
Student 38,Female,First Taker,37,45,58,55,,,,,,,,37,45,58,55,,,,,,,,37,45,58,55,,,,,,,,48.75,58,48.75,48.75,4,1,0,9.604686356,4,0
Student 39,Female,Repeater,31,49,7,,,,53,56,55,56,,31,49,7,,,,53,56,55,56,,31,49,7,,,,53,56,55,56,,43.85714286,56,43.85714286,43.85714286,7,1,0,18.49710402,7,0
Student 40,Female,First Taker,52,59,,,,,,,,,,52,71,,,,,,,,,,52,71,,,,,,,,,,61.5,71,55.5,61.5,3,1.5,6,13.43502884,2,1
Student 41,Male,First Taker,36,,,,,,,,,,,36,,,,,,,,,,,36,,,,,,,,,,,36,36,36,36,1,1,0,0,1,0
Student 42,Male,Repeater,42,49,62,48,39,36,51,66,67,61,,100,75,91,79,80,89,100,96,98,80,,100,98,99,90,80,89,100,96,98,80,,93,100,52.1,88.8,27,2.7,36.7,7.859884082,10,1
Student 43,Female,Repeater,41,48,,,,,,,,,,41,56,,,,,,,,,,41,56,,,,,,,,,,48.5,56,44.5,48.5,3,1.5,4,10.60660172,2,1
Student 44,Female,Repeater,44,52,60,,,,,,,,,77,61,60,,,,,,,,,77,61,60,,,,,,,,,66,77,52,66,6,2,14,9.539392014,3,1
Student 45,Female,Repeater,30,44,59,,,,62,,,,,30,44,59,,,,62,,,,,30,44,59,,,,62,,,,,48.75,62,48.75,48.75,4,1,0,14.7732867,4,1
Student 46,Female,Repeater,,29,29,,,,49,,,,,,29,31,,,,28,,,,,,29,31,,,,49,,,,,36.33333333,49,35.66666667,29.33333333,5,1.666666667,-6.333333333,11.01514109,3,1
Student 47,Female,Repeater,46,47,,,,,,,,,,97,82,,,,,,,,,,97,82,,,,,,,,,,89.5,97,46.5,89.5,6,3,43,10.60660172,2,1
Student 48,Female,Repeater,48,44,55,47,,,62,52,,,,48,44,54,47,,,62,74,,,,48,44,55,47,,,62,74,,,,55,74,51.33333333,54.83333333,8,1.333333333,3.5,11.34900877,6,1
Student 49,Female,First Taker,19,47,54,51,50,49,68,54,64,58,,36,96,97,51,50,49,68,54,64,58,,36,96,97,51,50,49,68,54,64,58,,62.3,97,51.4,62.3,13,1.3,10.9,20.02803591,10,1
Student 50,Female,First Taker,51,60,58,57,60,51,69,62,68,70,62,98,70,76,62,73,61,85,71,75,70,62,98,97,96,62,100,61,98,71,96,70,62,82.81818182,100,60.72727273,73,29,2.636363636,12.27272727,17.18032702,11,1
Student 51,Female,First Taker,42,55,60,46,48,40,58,62,72,70,62,42,55,60,78,48,40,58,62,72,74,62,42,55,60,78,48,40,58,62,72,74,62,59.18181818,78,55.90909091,59.18181818,13,1.181818182,3.272727273,12.49654498,11,1
Student 52,Female,Repeater,,,,,,,,59,,,,,,,,,,,35,,,,,,,,,,,59,,,,59,59,59,35,2,2,-24,0,1,1
